TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1218,202,18,950,217,66071,11486,11491,302572,69,121,101,775,202,0.7850273623868745,0.7511737089201878,0.8290598290598291,0.7570281124497992
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1627,232,60,1129,33,21781,1626,1629,146901,60,109,230,1391,232,0.5650748708324719,0.6145038167938931,0.7028423772609819,0.7278911564625851
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,2012,214,72,1597,115,44050,6058,6062,239610,165,274,516,2487,214,0.7702372260515044,0.792,0.8294797687861272,0.8732394366197183
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,433,68,23,401,399,138886,20965,20971,140703,75,114,223,1099,68,0.8668179283344508,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,221,18,18,195,873,137958,43929,43933,136977,36,63,101,685,18,0.8856707317073171,1.0,1.0,1.0
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1627,232,60,1037,19,18224,941,946,156449,57,93,250,1751,232,0.515799149463387,0.5534351145038168,0.648578811369509,0.6649659863945578
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,991,82,51,820,44,13557,1972,1978,173709,76,123,280,1225,82,0.7625340691079161,0.8230088495575221,0.8558558558558559,0.75
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,830,90,26,734,1335,295953,69429,69433,142172,81,135,303,841,90,0.8438181487949532,0.8932038834951457,0.9259259259259259,0.7632241813602015
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,265,8,22,245,728,82484,37819,37823,178489,84,108,222,720,8,0.8555156642324574,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1127,198,26,816,44,24960,2409,2413,238733,53,107,190,1220,198,0.5934694005514511,0.5943396226415094,0.6278195488721805,0.896
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,2080,226,87,1564,81,40892,3877,3882,248227,207,314,872,4556,226,0.7162978592222196,0.7667844522968198,0.8,0.7248603351955307
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1024,104,33,946,1080,371738,56490,56493,141531,76,139,356,1496,104,0.8719527776916333,0.905982905982906,0.9664804469273743,0.8995726495726496
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,2813,670,39,2078,472,124145,24546,24550,181889,161,376,595,2504,670,0.7301357771918914,0.723781388478582,0.7526080476900149,0.6685472496473907
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,3512,676,64,1538,121,65376,6241,6247,214745,138,259,545,3006,676,0.5404442943677518,0.347949080622348,0.33504624871531347,0.6309921962095875
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,887,156,9,868,1624,349368,85028,85029,135556,59,138,136,943,156,0.8434793498761347,0.9936708860759493,0.9844961240310077,0.9585365853658536
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,5652,1504,51,2440,347,173568,18214,18219,274414,248,460,642,3349,1504,0.6169378082441148,0.3719552337063858,0.4345718901453958,0.6243386243386243
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,3382,558,100,2442,97,43262,5112,5116,294318,242,411,667,3961,558,0.7298979799574474,0.7394957983193278,0.790436005625879,0.7737459978655283
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,265,8,22,239,588,76283,30656,30661,158859,83,103,211,690,8,0.8500416655658591,1.0,0.9444444444444444,1.0
