TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,443,62,21,417,2381,473064,131055,131056,198790,62,95,212,826,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,221,18,18,189,667,93286,36742,36744,197656,36,59,101,419,18,0.8765243902439024,1.0,1.0,1.0
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1627,232,60,1036,61,35287,3083,3088,213440,60,113,265,1530,232,0.515296996415648,0.5381679389312977,0.6434108527131783,0.6700680272108843
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1218,202,18,1008,527,146542,29022,29027,257116,66,132,94,841,202,0.8103017399796808,0.812206572769953,0.8974358974358975,0.7891566265060241
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1218,202,18,959,665,171108,36579,36585,342871,70,134,103,808,202,0.790500976796939,0.784037558685446,0.8589743589743589,0.7349397590361446
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,265,8,22,241,834,107214,45953,45956,222521,81,103,192,618,8,0.8512019387422614,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,7058,1796,141,3833,205,164270,10815,10821,431278,36,688,908,9971,1796,0.20672926112918277,0.46,0.5646945646945647,0.6265060240963856
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,433,68,23,399,151,58687,8351,8356,205621,75,104,228,1123,68,0.8637691478466458,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1110,96,22,1005,63,35397,3551,3552,270800,74,125,200,1213,96,0.801674765446635,0.7788461538461539,0.8333333333333334,0.9305135951661632
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,265,8,22,250,1160,146235,63899,63900,221451,87,105,223,779,8,0.8589494472657336,1.0,0.9444444444444444,1.0
