TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,2080,226,87,1405,41,24317,2046,2052,172137,157,235,649,3765,226,0.6465931490865227,0.7208480565371025,0.7586206896551724,0.6689944134078212
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,2080,226,87,1662,127,76924,6078,6084,258341,238,389,1041,6167,226,0.7473635746733238,0.8091872791519434,0.825287356321839,0.75
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,427,48,30,412,221,35978,11086,11091,85604,82,132,255,1019,48,0.8709602992573175,1.0,1.0,0.9714285714285714
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,2813,670,39,2039,452,119602,23603,23604,176197,175,381,640,2519,670,0.7205447194935439,0.7134416543574594,0.736214605067064,0.6600846262341326
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1024,104,33,925,1077,356035,56190,56195,136897,74,153,310,1447,104,0.8609782178775872,0.8974358974358975,0.9608938547486033,0.8696581196581197
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1211,140,60,700,91,30133,4630,4632,165619,77,150,191,1346,140,0.6338450637612899,0.5058139534883721,0.594488188976378,0.5795795795795796
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1127,198,26,765,34,16539,1856,1861,517808,47,95,147,965,198,0.5760464072918144,0.5330188679245284,0.5714285714285714,0.8826666666666667
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1055,50,69,938,55,18460,2532,2537,266085,167,261,438,2718,50,0.816217617129419,0.8217821782178217,0.8728323699421965,0.9446153846153846
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,2813,670,39,1989,430,122583,22399,22405,187740,163,385,620,2612,670,0.6989339404546618,0.7045790251107829,0.7213114754098361,0.610719322990127
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,887,156,9,860,1494,314550,78343,78347,127838,58,139,127,914,156,0.8409859673841702,0.9936708860759493,0.9767441860465116,0.9439024390243902
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,887,156,9,873,1355,290229,70861,70866,127621,60,143,139,890,156,0.8801891656068085,1.0,0.9922480620155039,0.9560975609756097
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1627,232,60,890,11,7749,521,526,149667,53,75,192,1439,232,0.4622253825402025,0.4580152671755725,0.5917312661498708,0.5340136054421769
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,830,90,26,759,1340,284627,69656,69657,143440,87,157,345,867,90,0.8529581302232085,0.9029126213592233,0.9320987654320988,0.7984886649874056
