TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,991,82,51,744,19,7190,956,961,149948,69,100,237,1196,82,0.7197685959739368,0.7522123893805309,0.8048048048048048,0.636986301369863
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,3382,558,100,2091,32,19019,1811,1815,157079,170,274,478,3628,558,0.6411731530600411,0.6336134453781512,0.6863572433192686,0.7022411953041622
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1127,198,26,896,7,5000,458,462,108106,42,73,135,1025,198,0.6304824975173784,0.660377358490566,0.7819548872180451,0.9226666666666666
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,887,156,9,848,578,127754,31887,31891,77624,55,133,134,754,156,0.837798429422858,0.9873417721518988,0.9689922480620154,0.9195121951219513
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3382,558,100,2341,66,33790,3664,3669,161405,215,366,567,3668,558,0.7053496379659128,0.7126050420168067,0.7566807313642757,0.7556029882604055
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,887,156,9,825,570,128915,31448,31451,77913,61,139,123,991,156,0.8264286762784361,0.9746835443037974,0.9689922480620154,0.875609756097561
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2080,226,87,1326,64,37844,3371,3376,152555,166,249,705,3764,226,0.6160915822655119,0.6431095406360424,0.6528735632183909,0.6298882681564246
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1127,198,26,934,13,6699,755,759,133858,51,90,147,1061,198,0.6679607450229347,0.7311320754716981,0.8007518796992481,0.9306666666666666
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,7058,1796,141,2894,43,41549,2366,2372,232753,234,375,840,6482,1796,0.4385376173058481,0.3248648648648649,0.4535834535834536,0.49726177437020813
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2012,214,72,1553,88,35368,4917,4921,171658,163,286,516,2423,214,0.7574887429972355,0.768,0.8034682080924855,0.852112676056338
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1211,140,60,687,36,14826,1967,1969,136737,81,132,203,1347,140,0.6132191171764799,0.48255813953488375,0.5826771653543307,0.5615615615615616
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,887,156,9,825,599,133930,33027,33032,78194,58,134,132,885,156,0.8264286762784361,0.9746835443037974,0.9689922480620154,0.875609756097561
