TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,1024,104,33,944,851,286425,44472,44476,140101,73,151,341,1422,104,0.8706641178978188,0.905982905982906,0.9664804469273743,0.8995726495726496
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,7,265,8,22,241,602,70186,31339,31345,230158,81,100,209,684,8,0.8520133422510332,1.0,0.9444444444444444,1.0
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,2813,670,39,2154,379,100872,19800,19806,185138,175,400,648,2377,670,0.7464679743415948,0.7444608567208272,0.7824143070044709,0.7009873060648801
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1055,50,69,976,96,32854,4521,4526,320841,188,293,545,2998,50,0.8422775255475007,0.8712871287128713,0.9017341040462428,0.9476923076923077
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,887,156,9,849,1991,416354,104236,104241,203427,56,137,124,765,156,0.8402893714518436,0.9873417721518988,0.9689922480620154,0.9195121951219513
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1024,104,33,933,814,273955,42552,42553,145077,80,152,358,1387,104,0.8651581015677802,0.8974358974358975,0.9608938547486033,0.8824786324786325
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1055,50,69,804,42,16161,2016,2020,220165,129,244,338,2760,50,0.8064988858765832,0.7623762376237624,0.7687861271676301,0.8184615384615385
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,7058,1796,141,3546,188,134858,9238,9243,415741,328,602,1121,8777,1796,0.4994050192544168,0.41567567567567565,0.5271765271765272,0.5859802847754655
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,2012,214,72,1657,121,45588,6403,6408,253546,171,292,518,2772,214,0.79775513373706,0.848,0.8757225433526011,0.8915492957746479
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,265,8,22,232,488,62106,25480,25483,159967,76,90,185,763,8,0.8423040892798958,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1127,198,26,820,58,24573,3126,3130,341672,63,120,183,1086,198,0.6200284645347391,0.5990566037735849,0.6165413533834586,0.9013333333333333
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,433,68,23,401,299,85804,15719,15721,144962,76,109,219,906,68,0.8668179283344508,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,2813,670,39,2039,599,165443,31226,31231,245954,172,402,648,2683,670,0.7075443327485845,0.7208271787296898,0.736214605067064,0.6332863187588152
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,1627,232,60,846,11,10505,552,557,153334,53,73,197,1447,232,0.4544585375632627,0.4351145038167939,0.5684754521963824,0.4965986394557823
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,887,156,9,861,2107,441731,110300,110305,198453,63,135,137,872,156,0.8409859673841702,0.9936708860759493,0.9767441860465116,0.9463414634146341
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,1112,132,21,999,68,28753,3619,3625,164373,71,129,218,1335,132,0.8819008217046538,0.8759124087591241,0.8628571428571429,0.9025641025641026
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,7058,1796,141,3786,201,135401,9848,9854,408369,337,687,1127,9608,1796,0.5255501977219814,0.4556756756756757,0.5637325637325638,0.6308871851040526
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,1110,96,22,978,42,22239,2246,2252,236489,75,118,219,1199,96,0.7972460590931013,0.75,0.8333333333333334,0.8957703927492447
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,433,68,23,401,342,97771,17910,17916,148630,76,107,229,946,68,0.8668179283344508,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1127,198,26,808,76,24726,4072,4076,284184,59,110,192,929,198,0.6060078754275626,0.589622641509434,0.6165413533834586,0.8853333333333333
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,3382,558,100,2471,122,56114,6410,6411,226949,246,444,683,4569,558,0.7370540026067517,0.7546218487394958,0.7862165963431786,0.775880469583778
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,3382,558,100,2505,126,51764,6593,6597,450120,250,434,675,3664,558,0.7394865021594402,0.761344537815126,0.7946554149085795,0.8046958377801494
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1112,132,21,966,80,30326,4266,4270,212449,70,119,245,995,132,0.8646864181033889,0.7956204379562044,0.8685714285714285,0.8854700854700854
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,887,156,9,845,1253,265900,65552,65558,128123,60,134,128,725,156,0.8345221099872802,0.9810126582278481,0.9844961240310077,0.9121951219512195
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,2813,670,39,2020,657,169116,34203,34207,253822,161,384,602,2530,670,0.7155823666296155,0.7163958641063516,0.7347242921013413,0.6191819464033851
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,830,90,26,758,1174,251018,61006,61011,156911,87,149,333,905,90,0.8492509183078703,0.9029126213592233,0.9320987654320988,0.7984886649874056
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,1112,132,21,1026,128,47974,6752,6755,224443,74,130,232,1126,132,0.8859346560540743,0.9051094890510949,0.9085714285714286,0.9196581196581196
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,5652,1504,51,2236,328,166102,17151,17155,299471,227,434,615,3365,1504,0.5980259957429491,0.34101382488479265,0.3769520732364028,0.6119929453262787
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,3512,676,64,1559,92,40958,4710,4714,222895,137,262,427,2732,676,0.5487558488151785,0.33663366336633666,0.3340184994861254,0.6688963210702341
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,5652,1504,51,2499,399,191590,20859,20864,369887,250,483,650,3413,1504,0.6232635373088404,0.38314680710994076,0.44749596122778673,0.6313932980599647
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,1110,96,22,990,59,27974,3132,3136,275087,77,127,213,1021,96,0.8100721982370636,0.7692307692307693,0.8269230769230769,0.9018126888217523
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,991,82,51,798,61,21675,2905,2909,216951,83,124,302,1267,82,0.7523558593142785,0.831858407079646,0.8438438438438438,0.6643835616438356
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,1112,132,21,974,101,41297,5308,5314,152930,73,131,226,1379,132,0.8885005948383471,0.8029197080291971,0.8685714285714285,0.8888888888888888
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,830,90,26,758,1819,376579,94458,94459,203960,82,146,301,970,90,0.8502987556339439,0.912621359223301,0.9382716049382716,0.8035264483627204
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,2813,670,39,1995,389,96858,20217,20222,196910,158,354,571,2125,670,0.6958717667946238,0.7119645494830132,0.7123695976154992,0.6205923836389281
