TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,830,90,26,774,561,149738,30927,30933,86397,85,153,347,923,90,0.8578978994757973,0.912621359223301,0.9382716049382716,0.8337531486146096
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1627,232,60,916,9,8342,509,514,83189,48,71,176,1220,232,0.4743579114611329,0.4580152671755725,0.5968992248062015,0.5918367346938775
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,433,68,23,398,121,36387,6725,6731,77774,74,104,223,895,68,0.8622447576027434,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,2080,226,87,1549,77,50131,3989,3990,163297,194,299,823,4705,226,0.6989275948750222,0.7420494699646644,0.7954022988505747,0.744413407821229
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1127,198,26,981,33,14181,1894,1899,189819,65,135,192,1186,198,0.6946300243533362,0.8066037735849056,0.8233082706766918,0.9466666666666667
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,740,102,29,245,18,5650,1027,1030,101566,58,67,203,601,102,0.44889063753975794,0.21739130434782608,0.3248407643312102,0.20300751879699247
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,5652,1504,51,2322,145,91307,8057,8058,209774,198,355,529,3287,1504,0.5948425761919532,0.37129690585911784,0.39579967689822293,0.5555555555555556
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,433,68,23,400,158,55499,8766,8771,82599,75,116,218,1110,68,0.8652935380905483,0.9090909090909091,0.967741935483871,0.8681318681318682
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,3382,558,100,2403,73,35975,4035,4041,180619,230,385,583,3615,558,0.7208712513061115,0.7445378151260504,0.7721518987341772,0.7769477054429029
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2813,670,39,2142,189,57084,10443,10448,124428,163,359,603,2614,670,0.7622291237696552,0.7607090103397341,0.7600596125186289,0.6727785613540197
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,443,62,21,417,744,137079,40966,40968,77614,60,96,201,694,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1110,96,22,880,15,9330,906,912,136538,67,101,180,958,96,0.7472125313336158,0.6730769230769231,0.7884615384615384,0.797583081570997
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1127,198,26,960,35,16865,1993,1996,124012,62,125,172,1160,198,0.6814493814462782,0.7735849056603774,0.8195488721804511,0.9333333333333333
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,443,62,21,422,679,135996,37433,37437,78550,61,96,209,960,62,0.8858994587012331,0.918918918918919,0.963855421686747,0.9080459770114943
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,265,8,22,235,414,51641,22833,22837,97646,75,97,182,755,8,0.846009407501343,1.0,0.9444444444444444,1.0
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,1627,232,60,817,7,6627,380,382,90293,51,65,198,1309,232,0.46417806402110307,0.41603053435114506,0.5529715762273901,0.48299319727891155
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,5652,1504,51,2242,157,100263,8713,8719,209061,192,373,534,3859,1504,0.5850128870784783,0.3554970375246873,0.3871836295099623,0.5291005291005291
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,3512,676,64,1894,50,30104,2716,2720,155816,146,259,521,3043,676,0.5918990294939839,0.5106082036775106,0.526207605344296,0.6465997770345596
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,3512,676,64,2052,46,27082,2472,2477,161486,150,265,616,4110,676,0.6278856615006219,0.5544554455445545,0.5734840698869476,0.7101449275362319
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,740,102,29,246,18,5475,1038,1042,100488,55,65,210,589,102,0.445133237104152,0.22608695652173913,0.3248407643312102,0.20300751879699247
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,1110,96,22,937,8,6644,528,533,160855,56,82,171,1048,96,0.7729631678744217,0.7211538461538461,0.8012820512820513,0.877643504531722
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,1127,198,26,888,12,6697,750,755,119851,48,79,141,735,198,0.6479009197522108,0.6792452830188679,0.7819548872180451,0.888
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,1024,104,33,930,495,170576,27294,27298,77613,71,143,311,1301,104,0.8646239135335921,0.8974358974358975,0.9608938547486033,0.8739316239316239
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,2080,226,87,1439,56,39624,2873,2877,191880,173,268,745,4835,226,0.6606356156704138,0.7102473498233216,0.767816091954023,0.6885474860335196
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,1627,232,60,941,6,6842,377,380,102549,48,70,228,1297,232,0.4962084616881881,0.46564885496183206,0.6072351421188631,0.6122448979591837
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,2813,670,39,2078,180,53264,9961,9966,191869,158,338,595,2504,670,0.7339109294616655,0.7474150664697193,0.7347242921013413,0.6346967559943583
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,427,48,30,415,236,47989,13047,13051,89074,85,123,274,861,48,0.8667174130784558,1.0,1.0,0.9714285714285714
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,5652,1504,51,2336,124,81167,6889,6895,210716,197,352,537,3804,1504,0.5911511455289449,0.3798551678736011,0.40118470651588584,0.5326278659611993
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,1024,104,33,927,453,154790,25010,25015,80007,75,149,315,1474,104,0.8607579341521489,0.8974358974358975,0.9608938547486033,0.8739316239316239
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,8,830,90,26,679,345,81643,19053,19058,84579,74,127,261,899,90,0.8182205763754085,0.8640776699029126,0.9074074074074074,0.6574307304785895
