TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,2080,226,87,1669,99,64031,5105,5110,217484,222,348,961,6025,226,0.7556914456983859,0.8091872791519434,0.8298850574712644,0.770949720670391
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1055,50,69,925,68,26132,3431,3437,270768,174,261,478,2703,50,0.7905398046029054,0.7920792079207921,0.8554913294797688,0.9107692307692308
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1110,96,22,998,43,22693,2453,2456,191191,74,114,233,1129,96,0.8161197395415551,0.7788461538461539,0.8269230769230769,0.9138972809667674
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1127,198,26,970,34,14986,1956,1960,212808,61,123,194,1205,198,0.6875803128103277,0.7877358490566038,0.8120300751879699,0.944
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2080,226,87,1686,171,108864,8695,8701,223491,236,373,1082,5414,226,0.7576370073397722,0.833922261484099,0.8459770114942529,0.7583798882681564
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1110,96,22,976,24,12582,1375,1380,208841,74,105,211,1006,96,0.7896061107824703,0.7403846153846154,0.8205128205128205,0.9018126888217523
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1218,202,18,952,355,93219,19597,19602,217757,66,126,91,790,202,0.7868019988700635,0.7699530516431925,0.8461538461538461,0.7369477911646586
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1024,104,33,945,982,369019,54106,54109,139636,80,144,369,1490,104,0.8706641178978188,0.905982905982906,0.9664804469273743,0.8995726495726496
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2012,214,72,1720,207,57203,11449,11454,184670,187,338,491,2475,214,0.8168039955789423,0.884,0.9161849710982659,0.928169014084507
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2813,670,39,2182,400,113686,22089,22094,251868,171,365,641,2635,670,0.7707673603019708,0.7666174298375185,0.789865871833085,0.6770098730606487
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1112,132,21,1008,89,38937,4965,4970,154714,70,122,226,1160,132,0.8827257167631255,0.8832116788321168,0.8914285714285715,0.8991452991452992
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,2012,214,72,1637,143,52700,7926,7931,296762,173,314,517,2918,214,0.7891760984978994,0.828,0.8757225433526011,0.8746478873239436
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1127,198,26,1028,71,30129,3953,3957,206205,70,147,212,1318,198,0.7163147570862746,0.8632075471698113,0.8646616541353384,0.9733333333333334
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,7058,1796,141,3316,112,88423,5928,5933,337545,285,546,959,7594,1796,0.48387345144962557,0.387027027027027,0.5055315055315055,0.556407447973713
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,2813,670,39,2176,493,128863,27186,27192,249640,174,367,639,2424,670,0.7657264585102704,0.7769571639586411,0.7660208643815202,0.685472496473907
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,740,102,29,563,20,7615,1132,1136,244305,61,101,227,848,102,0.7120759518407278,0.7304347826086957,0.7579617834394905,0.6879699248120301
