TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1211,140,60,736,88,32303,4698,4703,233316,95,163,271,1661,140,0.645706494677343,0.5348837209302325,0.6181102362204725,0.5855855855855856
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,740,102,29,240,16,5435,943,947,268482,54,63,179,481,102,0.4313617913893388,0.22608695652173913,0.3057324840764331,0.20300751879699247
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,265,8,22,241,1339,171304,73691,73696,215483,85,107,215,727,8,0.8498768666205724,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1127,198,26,997,64,21944,3606,3608,233438,71,141,192,976,198,0.7018133574239582,0.8301886792452831,0.8383458646616542,0.9466666666666667
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3382,558,100,2508,115,50483,6332,6336,401685,245,436,635,4032,558,0.7383299969758503,0.7663865546218488,0.7974683544303798,0.7961579509071505
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1024,104,33,961,1442,526309,79379,79384,202296,74,139,363,1486,104,0.8719527776916333,0.9230769230769231,0.9776536312849162,0.9188034188034188
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,443,62,21,417,2462,475077,135503,135507,199495,62,98,213,811,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,3382,558,100,2517,134,62358,7339,7345,272839,244,418,637,3708,558,0.7454342941160172,0.7781512605042017,0.8045007032348804,0.8014941302027748
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,830,90,26,763,1893,441034,104161,104165,204659,84,154,328,918,90,0.8561197478845712,0.912621359223301,0.9382716049382716,0.8035264483627204
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,887,156,9,855,1678,367429,92371,92375,207067,57,138,129,907,156,0.8378792986592551,0.9873417721518988,0.9767441860465116,0.9341463414634147
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,991,82,51,816,112,29684,5532,5534,398994,84,138,316,1256,82,0.7486946503289393,0.8141592920353983,0.8498498498498499,0.708904109589041
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,2813,670,39,2348,654,180208,36034,36040,303872,181,426,695,3252,670,0.7910704920949058,0.8197932053175776,0.834575260804769,0.768688293370945
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,443,62,21,417,2271,444646,124984,124989,197253,59,97,205,930,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
