TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,221,18,18,185,244,35040,13505,13507,77475,34,58,93,489,18,0.8745934959349593,1.0,1.0,1.0
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,427,48,30,415,208,37944,11523,11526,104613,85,129,273,1099,48,0.8690088006021465,1.0,1.0,0.9714285714285714
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1110,96,22,970,23,13788,1353,1358,145628,72,99,223,1015,96,0.800229028901612,0.7211538461538461,0.8141025641025641,0.8942598187311178
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1218,202,18,943,193,53143,10688,10693,113694,69,122,94,799,202,0.7791565593584269,0.7605633802816901,0.8076923076923077,0.7369477911646586
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,991,82,51,779,30,12495,1426,1431,107737,68,105,248,1180,82,0.7408561252337771,0.7610619469026548,0.8198198198198198,0.708904109589041
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1627,232,60,961,8,8247,427,432,90177,54,69,205,1497,232,0.5035078173142187,0.5229007633587787,0.6382428940568475,0.5697278911564626
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1055,50,69,850,32,13932,1571,1576,177293,144,211,418,2538,50,0.7621409439239434,0.7821782178217822,0.8265895953757225,0.8307692307692308
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,5652,1504,51,1972,143,83003,7934,7939,212214,186,357,478,3012,1504,0.5449904203106056,0.3021724818959842,0.33710285406569734,0.5132275132275133
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,265,8,22,236,386,47179,21329,21331,109201,80,100,190,859,8,0.8475253465172821,1.0,0.9444444444444444,1.0
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,887,156,9,867,559,124286,30841,30846,77834,62,137,144,847,156,0.8431744718273542,0.9936708860759493,0.9844961240310077,0.9560975609756097
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,991,82,51,791,44,14512,2212,2218,230186,74,117,268,1214,82,0.7453093535813973,0.7964601769911505,0.8318318318318318,0.6952054794520548
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,427,48,30,413,160,27954,8897,8899,83556,88,131,278,910,48,0.869735100296336,1.0,1.0,0.9714285714285714
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,433,68,23,400,164,53500,9100,9102,82247,76,104,224,941,68,0.8652935380905483,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1627,232,60,885,9,8633,447,453,89573,53,71,243,1279,232,0.48336139586510274,0.46946564885496184,0.599483204134367,0.5204081632653061
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,7058,1796,141,3141,54,47414,2912,2918,241057,252,442,838,7151,1796,0.46053613563277584,0.36648648648648646,0.4834054834054834,0.5388828039430449
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,740,102,29,562,12,5768,730,736,103666,55,89,219,881,102,0.716055710123128,0.7304347826086957,0.7707006369426752,0.6917293233082706
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,1127,198,26,926,13,7196,800,806,133210,41,92,118,1326,198,0.6644649654797371,0.7311320754716981,0.8045112781954887,0.9333333333333333
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,1024,104,33,931,426,142164,23488,23492,82268,77,151,335,1429,104,0.8659125733274066,0.8974358974358975,0.9608938547486033,0.8739316239316239
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,1055,50,69,823,20,7626,1097,1102,223045,143,186,360,1810,50,0.7146011583660599,0.7524752475247525,0.8034682080924855,0.8184615384615385
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,5652,1504,51,2488,148,95368,8229,8234,226031,194,365,516,3674,1504,0.6006572321039871,0.40421329822251484,0.436725901992461,0.564373897707231
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,1055,50,69,847,40,10677,2020,2025,150799,146,215,400,1979,50,0.7198637130254892,0.7722772277227723,0.8034682080924855,0.8830769230769231
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,3382,558,100,2396,61,39432,3366,3372,135312,215,353,605,4812,558,0.7181573835476027,0.7310924369747899,0.7749648382559775,0.7652081109925294
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,3512,676,64,1881,58,29582,3157,3162,156883,144,239,448,2670,676,0.6042800771449854,0.4893917963224894,0.5149023638232272,0.6588628762541806
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,221,18,18,192,590,83355,32550,32551,75876,39,65,110,567,18,0.8810975609756098,1.0,1.0,1.0
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,1112,132,21,923,15,9420,891,895,93152,58,90,169,1010,132,0.8224965631489354,0.7591240875912408,0.8342857142857143,0.8461538461538461
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,7,1627,232,60,833,8,8495,482,488,90969,54,71,198,1369,232,0.4492838576256033,0.42366412213740456,0.5658914728682171,0.4846938775510204
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,8,433,68,23,404,155,48985,8592,8598,82902,78,114,235,991,68,0.8737059138809729,0.9090909090909091,0.967741935483871,0.8681318681318682
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,8,1218,202,18,926,164,50815,9097,9103,114289,61,115,88,910,202,0.7743599176175292,0.755868544600939,0.7905982905982906,0.7429718875502008
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,8,265,8,22,226,432,49098,23808,23813,97728,71,91,175,739,8,0.8322630731904925,1.0,0.9444444444444444,1.0
