TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1127,198,26,756,28,11428,1538,1543,304045,51,89,147,796,198,0.5648763663512919,0.5188679245283019,0.5714285714285714,0.872
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,887,156,9,854,1478,313130,77469,77474,137703,62,138,137,782,156,0.8375744206104747,0.9873417721518988,0.9767441860465116,0.9317073170731708
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1055,50,69,932,79,29711,3854,3858,232012,171,251,468,2541,50,0.8134903084548579,0.8217821782178217,0.8670520231213873,0.9353846153846154
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,265,8,22,244,686,82782,35722,35726,158987,81,102,194,625,8,0.8542261322906484,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,7058,1796,141,3688,146,100759,7216,7222,338199,336,651,1126,9053,1796,0.5097180807017241,0.4410810810810811,0.555074555074555,0.6133625410733844
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,5652,1504,51,2275,335,169781,17562,17567,294097,230,437,596,3494,1504,0.6012349158920383,0.34825543120473995,0.3936456650511578,0.5925925925925926
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1218,202,18,940,312,82160,16452,16458,189001,67,127,92,826,202,0.7800982135571233,0.7464788732394366,0.8162393162393162,0.7369477911646586
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,2012,214,72,1570,144,46897,7599,7604,217737,167,303,527,2468,214,0.7630641969919605,0.78,0.8179190751445087,0.852112676056338
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1055,50,69,929,64,17842,3077,3082,221920,164,265,436,2310,50,0.8168134280088181,0.8316831683168316,0.8728323699421965,0.9353846153846154
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,3512,676,64,1407,93,42378,4772,4776,220380,128,241,445,2685,676,0.5127136204473924,0.31683168316831684,0.2970195272353546,0.5830546265328874
