TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,3382,558,100,2465,126,49878,6577,6582,251344,251,447,693,3878,558,0.7292643569875831,0.7495798319327731,0.7974683544303798,0.7790821771611526
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,830,90,26,748,1346,296771,70058,70060,140543,73,140,273,776,90,0.8480244584249773,0.9029126213592233,0.9320987654320988,0.7984886649874056
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1110,96,22,995,43,21973,2325,2329,190549,77,116,229,1045,96,0.8218281879405841,0.7980769230769231,0.8205128205128205,0.904833836858006
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,740,102,29,407,34,11171,1781,1785,158193,59,96,193,931,102,0.607218791246851,0.5391304347826087,0.5732484076433121,0.40977443609022557
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,427,48,30,416,216,40181,10862,10867,154852,85,136,272,1022,48,0.8689910826716007,1.0,1.0,0.9714285714285714
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,3382,558,100,2295,67,26985,3518,3524,326829,210,382,605,3337,558,0.6889845395492941,0.680672268907563,0.739803094233474,0.743863393810032
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,991,82,51,835,45,13584,2019,2025,249203,80,128,281,1315,82,0.7700510504789811,0.831858407079646,0.8618618618618619,0.7671232876712328
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,3382,558,100,2483,97,47415,5083,5086,331084,251,424,676,4000,558,0.7426384802884965,0.7630252100840336,0.7974683544303798,0.7876200640341515
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,433,68,23,401,386,120174,20201,20204,144581,74,106,233,997,68,0.8668179283344508,0.9090909090909091,0.967741935483871,0.8681318681318682
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,3382,558,100,2400,92,45389,4767,4773,216147,226,397,633,4199,558,0.7196203444626185,0.7344537815126051,0.7721518987341772,0.7662753468516542
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,991,82,51,798,69,20384,3179,3184,253881,81,128,301,1359,82,0.7465352073663964,0.8053097345132744,0.8348348348348348,0.6917808219178082
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,427,48,30,416,218,39401,10973,10976,156730,88,130,286,906,48,0.8731754672688131,1.0,1.0,0.9714285714285714
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,221,18,18,195,1335,201004,66985,66988,132841,39,66,108,542,18,0.8856707317073171,1.0,1.0,1.0
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,221,18,18,190,909,137504,45693,45695,135023,37,64,104,565,18,0.8780487804878049,1.0,1.0,1.0
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,2813,670,39,2045,486,132877,25315,25320,178378,169,385,630,2487,670,0.723713589620106,0.7208271787296898,0.7213114754098361,0.6629055007052186
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,2080,226,87,1629,118,64439,5605,5609,244844,225,351,982,5083,226,0.7373281671406414,0.7809187279151943,0.8275862068965517,0.7346368715083799
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,427,48,30,417,136,25010,6891,6896,144876,83,133,264,1086,48,0.8772301475283126,1.0,1.0,0.9714285714285714
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,2012,214,72,1573,113,37298,5942,5947,231125,158,276,460,2358,214,0.7613996006334299,0.776,0.8265895953757225,0.8718309859154929
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,1112,132,21,1007,97,36857,5075,5081,151693,74,135,246,1351,132,0.8767388516795451,0.8905109489051095,0.8857142857142857,0.8957264957264958
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,1110,96,22,977,31,20330,1660,1665,197694,68,109,195,1299,96,0.7995023361913964,0.7307692307692307,0.8141025641025641,0.9063444108761329
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,1211,140,60,701,100,34832,5157,5162,172433,80,146,207,1538,140,0.635814463557028,0.5,0.594488188976378,0.5765765765765766
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,433,68,23,400,228,76217,12075,12076,144836,78,104,236,1022,68,0.865924320260439,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,740,102,29,231,21,7287,1128,1132,151869,47,67,157,757,102,0.4385338611573165,0.21739130434782608,0.3057324840764331,0.20300751879699247
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,2080,226,87,1671,158,82395,7600,7602,222846,254,396,1154,5940,226,0.7582059877222378,0.8091872791519434,0.8229885057471265,0.7374301675977654
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,265,8,22,241,920,87588,47928,47930,158607,81,105,198,819,8,0.8522100032583904,1.0,0.9444444444444444,1.0
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,7,887,156,9,856,1536,332558,80457,80463,137573,59,138,142,999,156,0.8405966899636029,0.9873417721518988,0.9767441860465116,0.9341463414634147
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,7,740,102,29,225,20,6664,1063,1068,149076,44,61,129,456,102,0.41222136817940574,0.21739130434782608,0.29936305732484075,0.20300751879699247
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,7,1127,198,26,807,52,20826,2775,2781,193952,53,121,168,1141,198,0.6158917491580103,0.5849056603773585,0.6240601503759399,0.888
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,7,991,82,51,786,52,16830,2457,2460,305649,76,129,277,1317,82,0.7314486590785233,0.7876106194690266,0.8258258258258259,0.708904109589041
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,830,90,26,742,1313,284427,68269,68274,147290,86,143,335,912,90,0.845351280365517,0.8932038834951457,0.9259259259259259,0.7632241813602015
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,3382,558,100,2438,116,48947,6083,6084,228805,233,420,598,4227,558,0.7218943536134061,0.7478991596638656,0.7805907172995781,0.7790821771611526
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,1110,96,22,986,49,24560,2608,2611,199941,73,122,245,1245,96,0.8121628004119019,0.7596153846153846,0.8205128205128205,0.9063444108761329
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,740,102,29,227,29,9622,1549,1552,149937,41,62,130,595,102,0.43306376683473713,0.22608695652173913,0.31210191082802546,0.20300751879699247
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,265,8,22,232,764,84639,39757,39760,154852,76,94,181,760,8,0.8412960247637667,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1127,198,26,813,65,26435,3481,3487,212256,61,120,239,1137,198,0.6066159206979713,0.5849056603773585,0.6165413533834586,0.9066666666666666
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1218,202,18,951,350,98830,18437,18441,222322,69,126,91,916,202,0.7839853875348709,0.7746478873239436,0.8162393162393162,0.7349397590361446
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1627,232,60,1008,27,18130,1316,1322,142919,57,109,246,1460,232,0.5048459872055256,0.5229007633587787,0.6149870801033591,0.6598639455782312
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,2080,226,87,1488,73,40184,3507,3513,356654,22,291,638,4716,226,0.23897683198489622,0.7561837455830389,0.7839080459770115,0.6731843575418994
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,830,90,26,773,1364,296452,70828,70829,144161,86,151,339,1021,90,0.8577272170687185,0.912621359223301,0.9382716049382716,0.8337531486146096
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,1024,104,33,943,1031,366852,53825,53829,141556,78,138,358,1397,104,0.8706641178978188,0.905982905982906,0.9664804469273743,0.8952991452991453
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,443,62,21,417,1721,315213,89109,89113,135868,58,102,195,898,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,887,156,9,867,1554,337451,81409,81412,136871,61,136,135,852,156,0.8679365341489741,0.9936708860759493,0.9922480620155039,0.9439024390243902
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,427,48,30,425,409,64066,20515,20516,143278,92,144,305,1037,48,0.882332061264873,1.0,1.0,0.9714285714285714
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,1055,50,69,968,56,23413,2637,2641,341002,186,284,531,3159,50,0.8228907313942613,0.8415841584158416,0.884393063583815,0.9384615384615385
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,265,8,22,234,510,64116,26574,26578,161505,78,95,195,694,8,0.8450013429852139,1.0,0.9444444444444444,1.0
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,1218,202,18,966,413,104902,21840,21846,222468,70,121,97,851,202,0.7934863634843875,0.7793427230046949,0.8632478632478633,0.7449799196787149
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,2012,214,72,1656,84,33987,4483,4488,229620,169,276,515,2453,214,0.7971341842519288,0.848,0.8930635838150289,0.9014084507042254
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,1055,50,69,954,76,24564,3650,3656,220503,178,262,486,2450,50,0.815042754621308,0.8514851485148515,0.8901734104046243,0.9384615384615385
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,1127,198,26,831,60,23062,3215,3219,236894,55,130,205,1302,198,0.613304873887712,0.6226415094339622,0.6428571428571429,0.888
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,1627,232,60,969,17,13062,850,853,143191,57,87,223,1364,232,0.5121939059206181,0.4770992366412214,0.6201550387596899,0.6309523809523809
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,265,8,22,243,895,106294,46513,46518,161993,83,109,206,656,8,0.854819799376251,1.0,0.9444444444444444,1.0
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,14,221,18,18,191,661,98518,33329,33332,138764,36,63,102,588,18,0.8885017421602788,1.0,1.0,1.0
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,14,1211,140,60,727,78,32292,3983,3988,177645,88,150,234,1604,140,0.6538974022868552,0.5348837209302325,0.6141732283464567,0.5825825825825826
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,14,740,102,29,227,20,7244,1072,1076,150910,41,58,141,586,102,0.4357169288900731,0.22608695652173913,0.31210191082802546,0.20300751879699247
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,14,265,8,22,241,729,96514,37946,37948,167472,81,101,204,743,8,0.8526500145770095,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,15,1211,140,60,718,85,28492,4310,4315,172512,84,147,218,1096,140,0.64530175037374,0.5290697674418605,0.6062992125984252,0.5855855855855856
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,15,1055,50,69,970,54,17427,2592,2595,239990,188,274,491,2302,50,0.8452720759298027,0.8811881188118812,0.9075144508670521,0.9415384615384615
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,15,1112,132,21,1012,113,41122,5942,5947,153506,78,146,235,1210,132,0.8940843047868595,0.8905109489051095,0.8971428571428571,0.8974358974358975
