TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1024,104,33,945,980,358564,53957,53962,137230,75,159,350,1465,104,0.8708844016232572,0.905982905982906,0.9664804469273743,0.8995726495726496
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1627,232,60,1080,43,27833,2247,2252,149048,64,110,254,1394,232,0.5396588146384101,0.5725190839694656,0.6666666666666666,0.7108843537414966
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1110,96,22,1001,34,19385,1908,1914,200716,78,118,220,998,96,0.8133160488806259,0.7596153846153846,0.8333333333333334,0.9229607250755287
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,433,68,23,404,304,117508,16805,16810,140989,75,113,226,1107,68,0.8713910990661581,0.9090909090909091,0.967741935483871,0.8681318681318682
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,887,156,9,825,1282,273325,70610,70611,140540,59,135,137,691,156,0.8264286762784361,0.9746835443037974,0.9689922480620154,0.875609756097561
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,740,102,29,216,6,2790,375,377,175972,34,43,136,415,102,0.42107400523770827,0.21739130434782608,0.3057324840764331,0.19924812030075187
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1112,132,21,1007,115,40883,6373,6378,150772,74,140,221,1068,132,0.8876051832393074,0.8905109489051095,0.8857142857142857,0.9008547008547009
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,5652,1504,51,2708,279,153032,15437,15438,262335,210,411,585,3166,1504,0.6364519771772835,0.4397630019749835,0.4798061389337641,0.6190476190476191
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3382,558,100,2446,95,50645,5250,5252,219570,232,407,609,3938,558,0.7279294045138085,0.7512605042016807,0.7890295358649789,0.7716115261472786
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3512,676,64,2113,120,61442,6426,6432,227702,171,327,607,4170,676,0.6601579073815941,0.5473833097595474,0.5683453237410072,0.6956521739130435
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,3512,676,64,2291,110,64839,5948,5954,230155,180,329,682,4787,676,0.6831336638181336,0.5968882602545968,0.6330935251798561,0.7525083612040134
