TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1110,96,22,1029,55,32505,3122,3126,278607,80,120,250,1191,96,0.8442831775644205,0.8173076923076923,0.8461538461538461,0.9365558912386707
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,5652,1504,51,2800,523,267395,28811,28816,361052,249,491,696,4050,1504,0.659989890212247,0.4529295589203423,0.4798061389337641,0.6402116402116402
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,740,102,29,239,37,11030,2048,2054,205019,50,59,174,490,102,0.4598822718531867,0.22608695652173913,0.3184713375796178,0.20300751879699247
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3512,676,64,2345,138,69739,7339,7342,293607,195,374,677,4272,676,0.704719189565759,0.6082036775106082,0.6330935251798561,0.7625418060200669
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2813,670,39,2325,750,199968,41322,41328,312083,180,407,681,2553,670,0.788367222866673,0.8079763663220089,0.8256333830104322,0.764456981664316
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1112,132,21,1028,148,49595,8170,8175,219635,76,140,217,1221,132,0.9006015826225681,0.9051094890510949,0.9142857142857143,0.9162393162393162
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1055,50,69,963,69,20129,3474,3480,332111,182,256,497,2263,50,0.8266182612096583,0.8712871287128713,0.9017341040462428,0.9446153846153846
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,433,68,23,402,473,151499,26062,26066,203677,74,107,224,965,68,0.8683423185783532,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,830,90,26,775,2040,470687,112250,112256,203913,84,152,331,847,90,0.8615281350262629,0.912621359223301,0.9382716049382716,0.8337531486146096
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1211,140,60,741,141,44373,7515,7520,232493,94,170,254,1307,140,0.653491184543306,0.563953488372093,0.6220472440944882,0.5855855855855856
