TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1024,104,33,948,432,151820,23827,23831,80627,76,142,316,1326,104,0.8576089536843007,0.9145299145299145,0.9720670391061452,0.9038461538461539
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,443,62,21,417,672,132896,37038,37042,77589,59,96,222,833,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,740,102,29,158,1,785,125,129,136985,15,17,79,207,102,0.2904528324118727,0.16521739130434782,0.22929936305732485,0.19172932330827067
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,221,18,18,195,637,92660,35135,35136,72917,40,62,115,670,18,0.8841463414634146,1.0,1.0,1.0
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2813,670,39,2163,191,62001,10562,10568,196238,161,342,597,2832,670,0.7574065083579893,0.7592319054652881,0.7704918032786885,0.6953455571227081
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2012,214,72,1501,47,21052,2658,2663,160885,151,244,470,2309,214,0.7431413372905781,0.74,0.7832369942196532,0.8295774647887324
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,443,62,21,417,645,122243,35554,35557,79382,60,94,203,769,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2080,226,87,1492,67,39777,3520,3526,156130,181,271,803,4311,226,0.6772662341233564,0.7173144876325088,0.7540229885057471,0.7192737430167597
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,427,48,30,408,221,38217,12250,12252,83554,84,126,258,938,48,0.8613405127719265,1.0,1.0,0.9714285714285714
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1218,202,18,933,198,58446,10931,10936,124177,60,113,81,804,202,0.775696906779056,0.7511737089201878,0.7948717948717948,0.7369477911646586
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,740,102,29,240,11,4427,663,668,105301,52,64,181,689,102,0.44561066232702223,0.21739130434782608,0.3375796178343949,0.20300751879699247
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1218,202,18,921,107,36781,5933,5938,198684,61,112,81,791,202,0.7717416893078025,0.7323943661971831,0.782051282051282,0.7329317269076305
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1112,132,21,1020,34,16099,1938,1941,97117,66,117,188,1088,132,0.8825476339912849,0.8978102189781022,0.9085714285714286,0.9145299145299145
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,2080,226,87,1474,48,36240,2510,2516,173864,174,262,801,4742,226,0.6724414668074219,0.7455830388692579,0.7839080459770115,0.6899441340782123
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,991,82,51,768,33,10067,1563,1568,98868,71,117,240,1157,82,0.7257759732690943,0.7699115044247787,0.8138138138138138,0.6917808219178082
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,1112,132,21,912,19,9951,1116,1121,93427,58,100,166,1023,132,0.8363731083393492,0.7445255474452555,0.8285714285714286,0.8376068376068376
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,2012,214,72,1449,51,22782,2853,2857,229241,140,228,421,2114,214,0.7171283255955873,0.688,0.7543352601156069,0.8140845070422535
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,887,156,9,848,588,130424,32389,32394,80198,60,139,145,818,156,0.8353859161672907,0.9873417721518988,0.9689922480620154,0.9219512195121952
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,5,2080,226,87,1531,60,48834,3125,3131,160144,177,250,761,4920,226,0.6963640027255257,0.7526501766784452,0.7931034482758621,0.7486033519553073
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,830,90,26,715,513,125897,28271,28277,82648,71,132,256,924,90,0.8134824038026147,0.883495145631068,0.9012345679012346,0.7531486146095718
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,6,221,18,18,190,504,69322,27790,27793,73714,37,55,103,279,18,0.8780487804878049,1.0,1.0,1.0
