TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSONReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,740,102,29,237,25,6426,1373,1375,227458,55,68,169,426,102,0.4209132994191077,0.21739130434782608,0.3057324840764331,0.20300751879699247
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,433,68,23,402,642,225111,33629,33630,207214,75,114,228,1093,68,0.8683423185783532,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1211,140,60,685,119,37450,6098,6099,231397,71,138,172,1194,140,0.6193892895020989,0.5,0.6023622047244095,0.5645645645645646
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,3512,676,64,1536,135,60719,6770,6776,287048,139,266,492,3046,676,0.5272103812238492,0.3521923620933522,0.33607399794450155,0.6243032329988851
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,221,18,18,190,1093,170985,55000,55002,198402,36,63,100,680,18,0.8780487804878049,1.0,1.0,1.0
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1211,140,60,705,110,43255,5477,5482,244732,81,134,216,1424,140,0.6332599756362173,0.5058139534883721,0.6023622047244095,0.5735735735735735
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,2012,214,72,1605,178,62033,9364,9369,458844,300,300,2623,2623,214,0.7714048938448428,0.788,0.8294797687861272,0.8591549295774648
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,830,90,26,777,1848,396809,96038,96043,214618,89,159,356,888,90,0.8620184684529931,0.912621359223301,0.9382716049382716,0.8337531486146096
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1110,96,22,1004,68,36216,3655,3659,275698,80,136,239,1286,96,0.8179057844959968,0.7884615384615384,0.8333333333333334,0.9169184290030211
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,1218,202,18,1010,752,180976,39710,39714,305020,70,134,104,855,202,0.811954690900608,0.8169014084507042,0.8931623931623932,0.7891566265060241
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,443,62,21,417,2498,480391,129448,129452,208242,60,95,209,964,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,433,68,23,402,323,94214,16972,16977,208707,76,105,234,1020,68,0.8683423185783532,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,830,90,26,768,1759,395751,91497,91503,217275,79,151,311,958,90,0.8580405002767385,0.912621359223301,0.9382716049382716,0.8337531486146096
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,3512,676,64,1748,188,70845,9470,9475,285548,158,301,518,2711,676,0.5801938622745485,0.4002828854314003,0.38848920863309355,0.6945373467112598
