TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,2012,214,72,1364,30,14086,1724,1728,320836,136,216,408,2166,214,0.6856765441843293,0.632,0.708092485549133,0.7647887323943662
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1055,50,69,851,44,18205,2226,2232,158752,143,226,371,2533,50,0.7619638138053122,0.7722772277227723,0.8034682080924855,0.9015384615384615
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,3512,676,64,1916,55,38762,2992,2998,165113,145,254,600,4279,676,0.5943352106035061,0.504950495049505,0.5313463514902363,0.6254180602006689
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1218,202,18,934,179,62308,9904,9909,144714,64,122,87,1013,202,0.7827489928125606,0.7605633802816901,0.811965811965812,0.7349397590361446
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,427,48,30,415,171,34721,9503,9505,86214,85,129,272,890,48,0.869735100296336,1.0,1.0,0.9714285714285714
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,3512,676,64,1868,59,28966,3206,3212,156482,147,279,484,2984,676,0.599325618475779,0.5007072135785007,0.5231243576567317,0.6566332218506131
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,7058,1796,141,3235,52,47191,2797,2803,273219,252,399,894,6381,1796,0.45736571539562765,0.37891891891891893,0.49446849446849445,0.5465498357064622
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,221,18,18,188,297,44365,16434,16436,75697,34,60,93,484,18,0.875,1.0,1.0,1.0
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,3512,676,64,1782,46,21258,2502,2507,161403,129,224,424,2941,676,0.5785819262500967,0.48656294200848654,0.5200411099691675,0.5875139353400223
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1627,232,60,812,3,3671,224,227,88649,47,46,180,1079,232,0.45044135358451703,0.40076335877862596,0.5555555555555556,0.48639455782312924
