TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,8,2080,226,87,1608,97,59928,4487,4492,242988,220,343,1082,5850,226,0.7296582719413223,0.7773851590106007,0.8298850574712644,0.7248603351955307
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1024,104,33,944,1396,486065,72754,72758,205266,76,161,357,1598,104,0.8719527776916333,0.905982905982906,0.9664804469273743,0.8952991452991453
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,427,48,30,422,445,81072,22333,22336,148283,92,142,289,1107,48,0.8781564001747488,1.0,1.0,0.9714285714285714
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,427,48,30,427,636,106702,31873,31875,211090,91,142,294,956,48,0.8830172216926804,1.0,1.0,0.9714285714285714
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,991,82,51,773,29,11088,1396,1401,276370,74,111,254,1410,82,0.7384100332169795,0.7610619469026548,0.8168168168168168,0.6917808219178082
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,1110,96,22,968,25,13018,1343,1347,211318,69,110,213,1095,96,0.7745558604863183,0.7307692307692307,0.8076923076923077,0.9018126888217523
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1110,96,22,1000,59,29611,3172,3175,280355,80,120,230,993,96,0.8215627250974965,0.8076923076923077,0.8205128205128205,0.9093655589123867
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,9,887,156,9,848,1415,302364,74203,74204,138174,62,138,126,893,156,0.8353859161672907,0.9873417721518988,0.9689922480620154,0.9219512195121952
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,5652,1504,51,2263,477,242979,24964,24965,412767,238,478,651,4135,1504,0.6112569540938222,0.3396971691902567,0.38395261173936457,0.6208112874779541
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,3382,558,100,2441,113,54745,5909,5913,441861,420,420,4468,4468,558,0.7272194444374626,0.7378151260504202,0.7693389592123769,0.7780149413020278
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1112,132,21,1021,139,46668,7328,7331,215351,77,143,236,1092,132,0.8867629565444587,0.9051094890510949,0.8971428571428571,0.9128205128205128
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,991,82,51,810,69,20986,3310,3313,243962,82,130,310,1365,82,0.7583236070167195,0.8141592920353983,0.8438438438438438,0.708904109589041
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,1112,132,21,971,79,29896,4150,4156,155815,73,130,231,1116,132,0.882654488151751,0.7956204379562044,0.88,0.8871794871794871
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1024,104,33,944,1299,447033,67755,67759,203163,77,151,356,1631,104,0.8719527776916333,0.905982905982906,0.9664804469273743,0.8952991452991453
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,10,221,18,18,195,822,124755,41420,41421,136295,38,60,103,505,18,0.8945993031358885,1.0,1.0,1.0
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1127,198,26,800,70,29153,3743,3746,307018,53,122,156,997,198,0.6037405128387006,0.5754716981132075,0.6052631578947368,0.8853333333333333
org.json.XMLTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,887,156,9,855,1816,387496,95071,95077,196761,58,142,130,852,156,0.8378792986592551,0.9873417721518988,0.9767441860465116,0.9341463414634147
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,2080,226,87,1714,136,72419,6642,6648,374698,15,396,426,5896,226,0.23624557605299767,0.8127208480565371,0.8367816091954023,0.7472067039106145
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,1218,202,18,966,275,84496,14514,14516,247423,66,124,107,1007,202,0.785596053599126,0.7699530516431925,0.8247863247863247,0.7771084337349398
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,1127,198,26,767,46,15998,2488,2493,203430,46,106,132,895,198,0.5922478433929527,0.5424528301886793,0.5864661654135338,0.8453333333333334
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,2080,226,87,1716,206,104985,9764,9769,296098,251,389,1098,5962,226,0.7696613598147418,0.833922261484099,0.864367816091954,0.7597765363128491
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,11,265,8,22,239,679,92181,35384,35389,167326,79,100,196,887,8,0.8491858097100032,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1211,140,60,732,105,33324,5282,5285,245682,94,147,245,1177,140,0.6536248625202514,0.5348837209302325,0.610236220472441,0.5855855855855856
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,443,62,21,417,2472,468857,128224,128225,199001,60,98,203,825,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,7058,1796,141,3492,97,77042,4808,4813,370117,300,550,1055,8467,1796,0.5007481860715849,0.4097297297297297,0.5310245310245311,0.5739320920043811
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,433,68,23,398,365,119788,19177,19182,142233,72,107,217,1127,68,0.8622447576027434,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,1127,198,26,804,75,30268,3956,3962,281352,57,120,205,1162,198,0.6040885246215735,0.5801886792452831,0.6090225563909775,0.888
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,443,62,21,417,1565,292200,81047,81051,147454,59,103,205,761,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
org.json.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,3382,558,100,2505,171,71396,8954,8958,334857,243,436,653,4407,558,0.7390242049393829,0.7647058823529411,0.7974683544303798,0.7886872998932765
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,12,221,18,18,190,717,108467,36006,36011,135637,36,61,99,518,18,0.8780487804878049,1.0,1.0,1.0
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,433,68,23,402,272,79298,14370,14375,144284,77,111,233,990,68,0.8683423185783532,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,991,82,51,846,101,32795,4770,4775,338919,92,144,349,1513,82,0.7699520864431093,0.8495575221238938,0.8678678678678678,0.7534246575342466
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,1218,202,18,949,429,108582,22683,22689,194079,64,128,97,847,202,0.7850332622697471,0.7746478873239436,0.8205128205128205,0.7429718875502008
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,13,5652,1504,51,2313,319,155515,16716,16719,291189,230,441,595,3197,1504,0.6126468064819155,0.3548387096774194,0.39687668282175553,0.6014109347442681
